Module                  Size  Used by
xt_state               16384  0
tcp_diag               16384  0
udp_diag               16384  0
inet_diag              24576  2 tcp_diag,udp_diag
cpuid                  16384  0
vhost_net              32768  24
vhost                  53248  1 vhost_net
vhost_iotlb            16384  1 vhost
tap                    28672  1 vhost_net
ip6t_REJECT            16384  4
nf_reject_ipv6         20480  1 ip6t_REJECT
tls                   114688  0
iptable_nat            16384  1
bpfilter               16384  0
veth                   32768  0
xt_nat                 16384  0
nf_conntrack_netlink    49152  0
xfrm_user              40960  1
xfrm_algo              16384  1 xfrm_user
xt_addrtype            16384  2
br_netfilter           32768  0
xt_CHECKSUM            16384  3
xt_MASQUERADE          20480  18
xt_conntrack           16384  8
ipt_REJECT             16384  6
nf_reject_ipv4         16384  1 ipt_REJECT
xt_tcpudp              20480  27
nft_compat             20480  66
nft_chain_nat          16384  4
nf_nat                 49152  4 xt_nat,nft_chain_nat,iptable_nat,xt_MASQUERADE
nf_conntrack          172032  6 xt_conntrack,nf_nat,xt_state,xt_nat,nf_conntrack_netlink,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         16384  1 nf_conntrack
nft_counter            16384  133
nf_tables             266240  496 nft_compat,nft_counter,nft_chain_nat
nfnetlink              20480  4 nft_compat,nf_conntrack_netlink,nf_tables
overlay               151552  1
bridge                311296  1 br_netfilter
stp                    16384  1 bridge
llc                    16384  2 bridge,stp
binfmt_misc            24576  1
intel_rapl_msr         20480  0
intel_rapl_common      40960  1 intel_rapl_msr
sb_edac                36864  0
x86_pkg_temp_thermal    20480  0
coretemp               24576  0
kvm_intel             372736  74
kvm                  1036288  1 kvm_intel
mei_me                 40960  0
ipmi_si                73728  0
rapl                   20480  0
ipmi_devintf           20480  0
mei                   135168  1 mei_me
intel_cstate           20480  0
joydev                 32768  0
input_leds             16384  0
intel_pch_thermal      20480  0
ipmi_msghandler       122880  2 ipmi_devintf,ipmi_si
mac_hid                16384  0
acpi_power_meter       20480  0
sch_fq_codel           20480  10
dm_multipath           40960  0
scsi_dh_rdac           20480  0
scsi_dh_emc            16384  0
scsi_dh_alua           20480  0
msr                    16384  0
efi_pstore             16384  0
drm                   622592  0
nfsd                  643072  5
auth_rpcgss           139264  1 nfsd
nfs_acl                16384  1 nfsd
lockd                 110592  1 nfsd
grace                  16384  2 nfsd,lockd
sunrpc                585728  17 nfsd,auth_rpcgss,lockd,nfs_acl
ip_tables              32768  1 iptable_nat
x_tables               53248  12 xt_conntrack,nft_compat,xt_state,xt_tcpudp,xt_addrtype,xt_CHECKSUM,xt_nat,ipt_REJECT,ip_tables,iptable_nat,xt_MASQUERADE,ip6t_REJECT
autofs4                49152  2
btrfs                1564672  0
blake2b_generic        20480  0
zstd_compress         229376  1 btrfs
raid10                 69632  0
raid456               163840  0
async_raid6_recov      24576  1 raid456
async_memcpy           20480  2 raid456,async_raid6_recov
async_pq               24576  2 raid456,async_raid6_recov
async_xor              20480  3 async_pq,raid456,async_raid6_recov
async_tx               20480  5 async_pq,async_memcpy,async_xor,raid456,async_raid6_recov
xor                    24576  2 async_xor,btrfs
raid6_pq              122880  4 async_pq,btrfs,raid456,async_raid6_recov
libcrc32c              16384  5 nf_conntrack,nf_nat,btrfs,nf_tables,raid456
raid1                  49152  0
raid0                  24576  0
multipath              20480  0
linear                 20480  0
ses                    20480  0
enclosure              20480  1 ses
scsi_transport_sas     45056  1 ses
crct10dif_pclmul       16384  1
hid_generic            16384  0
crc32_pclmul           16384  0
ghash_clmulni_intel    16384  0
sha256_ssse3           32768  1
sha1_ssse3             32768  0
usbhid                 65536  0
aesni_intel           376832  0
crypto_simd            16384  1 aesni_intel
igb                   266240  0
i2c_i801               36864  0
ahci                   49152  0
cryptd                 24576  2 crypto_simd,ghash_clmulni_intel
hid                   151552  2 usbhid,hid_generic
lpc_ich                28672  0
i2c_smbus              20480  1 i2c_i801
megaraid_sas          188416  4
libahci                49152  1 ahci
dca                    16384  1 igb
i2c_algo_bit           16384  1 igb
